age,workclass,final_weight,education,Learning years,marital-status,occupation,relationship,sex,capital-gain,capital-loss,Workrate,native-country,label,Id,Difference
31,Private,87891,Assoc-acdm,12,Married-civ-spouse,Sales,1,2,0,0,60,1,1,1,0
32,State-gov,175931,HS-grad,9,Married-civ-spouse,Protective-serv,1,2,0,0,40,1,1,2,0
41,Private,131591,HS-grad,9,Married-civ-spouse,Adm-clerical,1,2,0,0,45,1,1,3,0
26,Private,160445,HS-grad,9,Divorced,Craft-repair,3,2,0,0,40,1,1,4,0
56,Private,179781,HS-grad,9,Married-civ-spouse,Exec-managerial,1,2,0,0,40,1,0,5,0
32,Private,309513,Assoc-acdm,12,Married-civ-spouse,Craft-repair,1,2,0,0,40,1,1,6,0
20,Private,221955,5th-6th,3,Married-spouse-absent,Farming-fishing,6,2,0,0,40,Mexico,1,7,0
38,Private,127601,Some-college,10,Widowed,Exec-managerial,3,1,0,0,40,1,0,8,0
52,Private,225317,5th-6th,3,Married-civ-spouse,Craft-repair,1,2,0,0,40,Mexico,1,9,0
31,Local-gov,158092,Some-college,10,Never-married,Adm-clerical,2,1,0,0,35,1,1,10,0
52,Private,109413,HS-grad,9,Never-married,Sales,3,2,0,0,40,1,1,11,0
22,Private,218343,HS-grad,9,Never-married,Other-service,2,1,0,0,40,1,1,12,0
31,Private,226756,HS-grad,9,Never-married,Adm-clerical,2,2,0,0,40,1,1,13,0
23,Private,126346,9th,5,Never-married,Other-service,5,1,0,0,30,1,1,14,0
34,Private,168768,Assoc-acdm,12,Never-married,Adm-clerical,3,1,0,0,35,1,1,15,0
34,Private,203488,Some-college,10,Married-civ-spouse,Transport-moving,1,2,0,0,40,1,1,16,0
25,Private,231638,HS-grad,9,Never-married,Adm-clerical,2,1,0,0,40,1,1,17,0
22,Private,356567,Assoc-voc,11,Divorced,Tech-support,3,2,0,0,60,1,1,18,0
47,Private,102771,HS-grad,9,Married-civ-spouse,Transport-moving,1,2,0,0,50,1,1,19,0
34,Private,73161,HS-grad,9,Married-civ-spouse,Sales,1,2,0,0,40,1,0,20,0
42,Private,115085,HS-grad,9,Married-civ-spouse,Adm-clerical,1,2,0,0,50,1,1,21,0
31,Self-emp-not-inc,281030,HS-grad,9,Married-civ-spouse,Craft-repair,1,2,0,0,45,1,1,22,0
44,Private,76196,Bachelors,13,Married-civ-spouse,Exec-managerial,1,2,0,0,50,1,1,23,0
60,Self-emp-not-inc,187794,HS-grad,9,Married-civ-spouse,Transport-moving,1,2,3103,0,60,1,0,24,3103
23,Private,204653,HS-grad,9,Never-married,Handlers-cleaners,3,2,0,0,72,Dominican-Republic,1,25,0
32,Self-emp-not-inc,34572,HS-grad,9,Divorced,Farming-fishing,3,2,0,0,65,1,1,26,0
51,Private,221672,Masters,14,Married-civ-spouse,Sales,1,2,15024,0,50,1,0,27,15024
47,Private,194772,Assoc-voc,11,Married-civ-spouse,2,1,2,0,0,40,1,0,28,0
38,Private,478346,HS-grad,9,Married-civ-spouse,Exec-managerial,4,1,7688,0,40,1,0,29,7688
42,Private,180032,Masters,14,Never-married,Prof-specialty,3,1,0,0,40,1,1,30,0
49,Local-gov,269527,Masters,14,Married-civ-spouse,Prof-specialty,1,2,7298,0,40,1,0,31,7298
43,Private,85995,HS-grad,9,Married-civ-spouse,Sales,1,2,0,0,45,1,1,32,0
46,Self-emp-not-inc,182541,HS-grad,9,Married-civ-spouse,Farming-fishing,1,2,0,1672,50,1,1,33,-1672
29,Private,103111,HS-grad,9,Never-married,Other-service,2,2,0,0,30,Canada,1,34,0
20,Private,219262,9th,5,Never-married,Transport-moving,3,2,0,0,50,1,1,35,0
48,Private,348144,Some-college,10,Divorced,Transport-moving,3,2,3325,0,53,1,1,36,3325
68,,192052,Some-college,10,Married-civ-spouse,,4,1,0,2457,40,1,1,37,-2457
31,Private,73514,HS-grad,9,Never-married,Sales,2,1,0,0,40,1,1,38,0
22,Private,326334,Some-college,10,Never-married,Craft-repair,2,2,0,0,35,1,1,39,0
54,,155755,HS-grad,9,Divorced,,3,1,4416,0,25,1,1,40,4416
49,Private,143482,HS-grad,9,Divorced,Other-service,5,1,0,0,40,1,1,41,0
51,Private,210940,HS-grad,9,Married-civ-spouse,Sales,1,2,0,2002,45,1,1,42,-2002
29,Private,200515,Some-college,10,Married-civ-spouse,2,1,2,0,0,38,1,1,43,0
31,Private,156493,HS-grad,9,Never-married,Prof-specialty,2,2,0,0,40,1,1,44,0
51,Private,302146,11th,7,Never-married,Other-service,3,1,0,0,40,1,1,45,0
24,Federal-gov,314525,Bachelors,13,Never-married,Prof-specialty,3,2,0,1741,45,1,1,46,-1741
26,Private,236242,Prof-school,15,Never-married,Prof-specialty,3,1,0,0,30,1,1,47,0
31,Federal-gov,166626,HS-grad,9,Married-civ-spouse,Adm-clerical,1,2,0,0,40,1,0,48,0
22,Private,388247,Some-college,10,Never-married,Sales,2,2,0,0,40,1,1,49,0
47,Federal-gov,27067,HS-grad,9,Divorced,Adm-clerical,3,1,0,0,40,1,1,50,0
21,Private,307315,Some-college,10,Never-married,Adm-clerical,5,2,0,0,40,1,1,51,0
33,Private,138142,Some-college,10,Separated,Other-service,5,1,0,0,25,1,1,52,0
21,Private,265434,Some-college,10,Never-married,Prof-specialty,2,1,0,0,30,1,1,53,0
37,Private,286026,HS-grad,9,Married-civ-spouse,Prof-specialty,1,2,0,0,40,1,0,54,0
59,Private,176011,Some-college,10,Separated,Adm-clerical,5,2,0,0,40,1,1,55,0
19,Private,246652,Some-college,10,Never-married,Sales,2,1,0,0,40,1,1,56,0
44,Self-emp-not-inc,120539,Bachelors,13,Never-married,Sales,3,2,0,0,50,1,0,57,0
38,Private,220585,HS-grad,9,Married-civ-spouse,Exec-managerial,1,2,0,0,55,1,0,58,0
66,Private,117746,Bachelors,13,Married-civ-spouse,Sales,1,2,0,0,50,1,0,59,0
45,Private,26522,Some-college,10,Married-civ-spouse,Adm-clerical,4,1,0,1902,35,1,0,60,-1902
34,Private,169527,Some-college,10,Married-civ-spouse,Sales,4,1,4386,0,20,1,1,61,4386
39,Private,484475,11th,7,Never-married,Craft-repair,3,2,0,0,40,1,1,62,0
47,Local-gov,194360,HS-grad,9,Married-civ-spouse,Other-service,4,1,0,0,7,1,0,63,0
43,Private,74581,HS-grad,9,Married-civ-spouse,Craft-repair,1,2,0,0,48,1,0,64,0
23,Private,240049,Preschool,1,Never-married,Other-service,3,1,0,0,40,Laos,1,65,0
31,Private,202822,Some-college,10,Divorced,Adm-clerical,5,1,0,0,40,1,1,66,0
36,Private,123983,Bachelors,13,Married-civ-spouse,Prof-specialty,1,2,0,0,55,Japan,0,67,0
46,Self-emp-not-inc,236852,Bachelors,13,Married-civ-spouse,Sales,1,2,0,0,45,1,0,68,0
28,Local-gov,304960,Assoc-acdm,12,Never-married,Adm-clerical,3,1,0,1980,40,1,1,69,-1980
40,Private,183404,Some-college,10,Separated,Other-service,5,1,0,0,8,1,1,70,0
43,Private,220589,HS-grad,9,Divorced,Exec-managerial,5,1,0,0,40,1,1,71,0
31,Private,124827,HS-grad,9,Never-married,Other-service,3,2,0,0,40,1,1,72,0
53,Private,169182,10th,6,Married-spouse-absent,2,3,1,0,0,40,Columbia,1,73,0
43,Self-emp-inc,117158,Bachelors,13,Married-civ-spouse,Sales,1,2,15024,0,60,1,0,74,15024
46,Private,503923,HS-grad,9,Married-civ-spouse,2,1,2,4386,0,40,1,0,75,4386
37,Local-gov,48976,Bachelors,13,Never-married,Prof-specialty,3,1,4865,0,45,1,1,76,4865
63,,170529,Bachelors,13,Married-civ-spouse,,4,1,0,0,45,1,1,77,0
42,Private,165916,Bachelors,13,Divorced,Adm-clerical,5,1,0,0,45,1,1,78,0
19,Private,205829,HS-grad,9,Never-married,Sales,2,1,0,0,35,1,1,79,0
45,Private,246891,Bachelors,13,Married-civ-spouse,Sales,1,2,0,1902,40,1,0,80,-1902
45,Private,274689,10th,6,Married-civ-spouse,Craft-repair,1,2,0,0,60,1,1,81,0
41,Private,177905,Masters,14,Married-civ-spouse,Prof-specialty,1,2,0,0,45,1,0,82,0
54,,172991,HS-grad,9,Married-civ-spouse,,1,2,0,0,40,1,1,83,0
35,Private,111128,10th,6,Never-married,Adm-clerical,2,2,0,0,40,1,1,84,0
18,,79990,11th,7,Never-married,,2,2,0,0,35,1,1,85,0
36,Private,129263,HS-grad,9,Widowed,Other-service,3,1,0,0,40,1,1,86,0
35,Private,148903,HS-grad,9,Married-civ-spouse,Other-service,4,1,0,0,16,1,0,87,0
36,Self-emp-not-inc,164526,Masters,14,Never-married,Sales,3,2,10520,0,45,1,0,88,10520
25,Private,180778,HS-grad,9,Never-married,Craft-repair,3,2,0,0,75,1,1,89,0
29,Local-gov,383745,Some-college,10,Married-civ-spouse,Protective-serv,1,2,0,1485,40,1,0,90,-1485
25,Private,321205,Bachelors,13,Never-married,Exec-managerial,3,2,4101,0,35,1,1,91,4101
22,Private,134746,10th,6,Married-civ-spouse,Sales,4,1,0,0,40,1,1,92,0
40,Private,201495,11th,7,Never-married,Transport-moving,2,2,0,0,35,1,1,93,0
19,Private,272063,HS-grad,9,Never-married,Handlers-cleaners,2,2,0,0,35,1,1,94,0
23,Private,137214,HS-grad,9,Married-civ-spouse,Sales,1,2,0,0,37,1,1,95,0
47,Private,205730,HS-grad,9,Married-civ-spouse,Craft-repair,1,2,0,0,56,1,0,96,0
19,Private,256979,HS-grad,9,Never-married,Craft-repair,6,2,0,0,35,1,1,97,0
21,Private,50411,HS-grad,9,Never-married,Farming-fishing,3,2,0,0,40,1,1,98,0
23,Private,96635,Some-college,10,Never-married,2,2,2,0,0,30,1,1,99,0
42,Local-gov,121012,Some-college,10,Married-civ-spouse,Exec-managerial,1,2,0,0,45,1,0,100,0
44,Private,190532,Masters,14,Never-married,Prof-specialty,3,1,0,0,55,1,1,101,0
20,Private,390817,5th-6th,3,Never-married,Handlers-cleaners,3,2,0,0,25,Mexico,1,102,0
42,Self-emp-not-inc,140474,Assoc-acdm,12,Divorced,Craft-repair,2,2,0,0,35,1,1,103,0
22,Self-emp-inc,269583,7th-8th,4,Married-civ-spouse,Craft-repair,1,2,2580,0,40,1,1,104,2580
33,Private,392812,Some-college,10,Married-civ-spouse,Handlers-cleaners,1,2,0,0,50,1,0,105,0
35,Self-emp-not-inc,108198,HS-grad,9,Divorced,Craft-repair,2,2,0,0,15,1,1,106,0
39,Private,183898,Assoc-acdm,12,Married-civ-spouse,Craft-repair,1,2,7688,0,60,Germany,0,107,7688
23,Private,209770,HS-grad,9,Never-married,Adm-clerical,2,1,0,0,40,1,1,108,0
65,Private,174056,7th-8th,4,Married-civ-spouse,2,1,2,0,0,40,1,1,109,0
