age,workclass,final_weight,education,Learning years,marital-status,occupation,relationship,sex,capital-gain,capital-loss,Workrate,native-country,label,Id,Difference
31,1,87891,11,12,1,4,1,2,0,0,60,1,1,1,0
32,2,175931,1,9,1,12,1,2,0,0,40,1,1,2,0
41,1,131591,1,9,1,8,1,2,0,0,45,1,1,3,0
26,1,160445,1,9,2,7,3,2,0,0,40,1,1,4,0
56,1,179781,1,9,1,5,1,2,0,0,40,1,0,5,0
32,1,309513,11,12,1,7,1,2,0,0,40,1,1,6,0
20,1,221955,9,3,3,10,6,2,0,0,40,3,1,7,0
38,1,127601,2,10,4,5,3,1,0,0,40,1,0,8,0
52,1,225317,9,3,1,7,1,2,0,0,40,3,1,9,0
31,3,158092,2,10,5,8,2,1,0,0,35,1,1,10,0
52,1,109413,1,9,5,4,3,2,0,0,40,1,1,11,0
22,1,218343,1,9,5,6,2,1,0,0,40,1,1,12,0
31,1,226756,1,9,5,8,2,2,0,0,40,1,1,13,0
23,1,126346,12,5,5,6,5,1,0,0,30,1,1,14,0
34,1,168768,11,12,5,8,3,1,0,0,35,1,1,15,0
34,1,203488,2,10,1,11,1,2,0,0,40,1,1,16,0
25,1,231638,1,9,5,8,2,1,0,0,40,1,1,17,0
22,1,356567,5,11,2,1,3,2,0,0,60,1,1,18,0
47,1,102771,1,9,1,11,1,2,0,0,50,1,1,19,0
34,1,73161,1,9,1,4,1,2,0,0,40,1,0,20,0
42,1,115085,1,9,1,8,1,2,0,0,50,1,1,21,0
31,4,281030,1,9,1,7,1,2,0,0,45,1,1,22,0
44,1,76196,3,13,1,5,1,2,0,0,50,1,1,23,0
60,4,187794,1,9,1,11,1,2,3103,0,60,1,0,24,3103
23,1,204653,1,9,5,9,3,2,0,0,72,4,1,25,0
32,4,34572,1,9,2,10,3,2,0,0,65,1,1,26,0
51,1,221672,4,14,1,4,1,2,15024,0,50,1,0,27,15024
47,1,194772,5,11,1,2,1,2,0,0,40,1,0,28,0
38,1,478346,1,9,1,5,4,1,7688,0,40,1,0,29,7688
42,1,180032,4,14,5,3,3,1,0,0,40,1,1,30,0
49,3,269527,4,14,1,3,1,2,7298,0,40,1,0,31,7298
43,1,85995,1,9,1,4,1,2,0,0,45,1,1,32,0
46,4,182541,1,9,1,10,1,2,0,1672,50,1,1,33,-1672
29,1,103111,1,9,5,6,2,2,0,0,30,2,1,34,0
20,1,219262,12,5,5,11,3,2,0,0,50,1,1,35,0
48,1,348144,2,10,2,11,3,2,3325,0,53,1,1,36,3325
68,,192052,2,10,1,,4,1,0,2457,40,1,1,37,-2457
31,1,73514,1,9,5,4,2,1,0,0,40,1,1,38,0
22,1,326334,2,10,5,7,2,2,0,0,35,1,1,39,0
